     1	  0  0  127
     2	  0  0  131
     3	  0  0  135
     4	  0  0  139
     5	  0  0  143
     6	  0  0  147
     7	  0  0  151
     8	  0  0  155
     9	  0  0  159
    10	  0  0  163
    11	  0  0  167
    12	  0  0  171
    13	  0  0  175
    14	  0  0  179
    15	  0  0  183
    16	  0  0  187
    17	  0  0  191
    18	  0  0  195
    19	  0  0  199
    20	  0  0  203
    21	  0  0  207
    22	  0  0  211
    23	  0  0  215
    24	  0  0  219
    25	  0  0  223
    26	  0  0  227
    27	  0  0  231
    28	  0  0  235
    29	  0  0  239
    30	  0  0  243
    31	  0  0  247
    32	  0  0  251
    33	  0  0  255
    34	  0  4  255
    35	  0  8  255
    36	  0  12  255
    37	  0  16  255
    38	  0  20  255
    39	  0  24  255
    40	  0  28  255
    41	  0  32  255
    42	  0  36  255
    43	  0  40  255
    44	  0  44  255
    45	  0  48  255
    46	  0  52  255
    47	  0  56  255
    48	  0  60  255
    49	  0  64  255
    50	  0  68  255
    51	  0  72  255
    52	  0  76  255
    53	  0  80  255
    54	  0  84  255
    55	  0  88  255
    56	  0  92  255
    57	  0  96  255
    58	  0  100  255
    59	  0  104  255
    60	  0  108  255
    61	  0  112  255
    62	  0  116  255
    63	  0  120  255
    64	  0  124  255
    65	  0  128  255
    66	  0  132  255
    67	  0  136  255
    68	  0  140  255
    69	  0  144  255
    70	  0  148  255
    71	  0  152  255
    72	  0  156  255
    73	  0  160  255
    74	  0  164  255
    75	  0  168  255
    76	  0  172  255
    77	  0  176  255
    78	  0  180  255
    79	  0  184  255
    80	  0  188  255
    81	  0  192  255
    82	  0  196  255
    83	  0  200  255
    84	  0  204  255
    85	  0  208  255
    86	  0  212  255
    87	  0  216  255
    88	  0  220  255
    89	  0  224  255
    90	  0  228  255
    91	  0  232  255
    92	  0  236  255
    93	  0  240  255
    94	  0  244  255
    95	  0  248  255
    96	  0  252  255
    97	  1  255  253
    98	  5  255  249
    99	  9  255  245
   100	  13  255  241
   101	  17  255  237
   102	  21  255  233
   103	  25  255  229
   104	  29  255  225
   105	  33  255  221
   106	  37  255  217
   107	  41  255  213
   108	  45  255  209
   109	  49  255  205
   110	  53  255  201
   111	  57  255  197
   112	  61  255  193
   113	  65  255  189
   114	  69  255  185
   115	  73  255  181
   116	  77  255  177
   117	  81  255  173
   118	  85  255  169
   119	  89  255  165
   120	  93  255  161
   121	  97  255  157
   122	  101  255  153
   123	  105  255  149
   124	  109  255  145
   125	  113  255  141
   126	  117  255  137
   127	  121  255  133
   128	  125  255  129
   129	  129  255  125
   130	  133  255  121
   131	  137  255  117
   132	  141  255  113
   133	  145  255  109
   134	  149  255  105
   135	  153  255  101
   136	  157  255  97
   137	  161  255  93
   138	  165  255  89
   139	  169  255  85
   140	  173  255  81
   141	  177  255  77
   142	  181  255  73
   143	  185  255  69
   144	  189  255  65
   145	  193  255  61
   146	  197  255  57
   147	  201  255  53
   148	  205  255  49
   149	  209  255  45
   150	  213  255  41
   151	  217  255  37
   152	  221  255  33
   153	  225  255  29
   154	  229  255  25
   155	  233  255  21
   156	  237  255  17
   157	  241  255  13
   158	  245  255  9
   159	  249  255  5
   160	  253  255  1
   161	  255  252  0
   162	  255  248  0
   163	  255  244  0
   164	  255  240  0
   165	  255  236  0
   166	  255  232  0
   167	  255  228  0
   168	  255  224  0
   169	  255  220  0
   170	  255  216  0
   171	  255  212  0
   172	  255  208  0
   173	  255  204  0
   174	  255  200  0
   175	  255  196  0
   176	  255  192  0
   177	  255  188  0
   178	  255  184  0
   179	  255  180  0
   180	  255  176  0
   181	  255  172  0
   182	  255  168  0
   183	  255  164  0
   184	  255  160  0
   185	  255  156  0
   186	  255  152  0
   187	  255  148  0
   188	  255  144  0
   189	  255  140  0
   190	  255  136  0
   191	  255  132  0
   192	  255  128  0
   193	  255  124  0
   194	  255  120  0
   195	  255  116  0
   196	  255  112  0
   197	  255  108  0
   198	  255  104  0
   199	  255  100  0
   200	  255  96  0
   201	  255  92  0
   202	  255  88  0
   203	  255  84  0
   204	  255  80  0
   205	  255  76  0
   206	  255  72  0
   207	  255  68  0
   208	  255  64  0
   209	  255  60  0
   210	  255  56  0
   211	  255  52  0
   212	  255  48  0
   213	  255  44  0
   214	  255  40  0
   215	  255  36  0
   216	  255  32  0
   217	  255  28  0
   218	  255  24  0
   219	  255  20  0
   220	  255  16  0
   221	  255  12  0
   222	  255  8  0
   223	  255  4  0
   224	  255  0  0
   225	  251  0  0
   226	  247  0  0
   227	  243  0  0
   228	  239  0  0
   229	  235  0  0
   230	  231  0  0
   231	  227  0  0
   232	  223  0  0
   233	  219  0  0
   234	  215  0  0
   235	  211  0  0
   236	  207  0  0
   237	  203  0  0
   238	  199  0  0
   239	  195  0  0
   240	  191  0  0
   241	  187  0  0
   242	  183  0  0
   243	  179  0  0
   244	  175  0  0
   245	  171  0  0
   246	  167  0  0
   247	  163  0  0
   248	  159  0  0
   249	  155  0  0
   250	  151  0  0
   251	  147  0  0
   252	  143  0  0
   253	  139  0  0
   254	  135  0  0
   255	  131  0  0
   256	  127  0  0
